EmployeeID,Age,TotalWorkingYears,MonthlyIncome,OverTime,DistanceFromHome,YearsAtCompany,MonthlyRate,JobInvolvement,JobRole,JobLevel,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,Shift,WorkLifeBalance,PercentSalaryHike,MaritalStatus,Attrition
1313919,41,0.2,0.2624539231174302,1,0.0,0.15000000000000002,0.6980525998795423,0.6666666666666667,1,0.25,0.2222222222222222,0,5,0.3333333333333333,0.0,0.0,0.0,0,0
1200302,49,0.25,0.21700895208004214,0,0.25,0.25,0.9160008030515961,0.3333333333333333,0,0.25,0.38888888888888884,1,7,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.8571428571428571,1,0
1060315,37,0.17500000000000002,0.0569246972090574,1,0.03571428571428571,0.0,0.012126079100582207,0.3333333333333333,1,0.0,0.0,0,0,1.0,0.0,0.6666666666666667,0.2857142857142857,0,1
1272912,33,0.2,0.10005265929436546,1,0.07142857142857142,0.2,0.845814093555511,0.6666666666666667,0,0.0,0.38888888888888884,3,0,1.0,0.0,0.6666666666666667,0.0,1,0
1414939,27,0.15000000000000002,0.1294892048446551,0,0.03571428571428571,0.05,0.5837382051796828,0.6666666666666667,1,0.0,0.1111111111111111,2,2,0.0,0.3333333333333333,0.6666666666666667,0.0714285714285714,1,0
1633361,32,0.2,0.10842548709847288,0,0.03571428571428571,0.17500000000000002,0.3922907046777755,0.6666666666666667,1,0.0,0.38888888888888884,3,6,1.0,0.0,0.3333333333333333,0.1428571428571428,0,0
1329390,59,0.30000000000000004,0.08746708794102159,1,0.07142857142857142,0.025,0.31600080305159606,1.0,1,0.0,0.0,0,0,0.6666666666666667,1.0,0.3333333333333333,0.6428571428571427,1,0
1699288,30,0.025,0.08867825171142707,0,0.8214285714285714,0.025,0.45135514956835976,0.6666666666666667,1,0.0,0.0,0,0,1.0,0.3333333333333333,0.6666666666666667,0.7857142857142857,2,0
1469740,38,0.25,0.44849921011058447,0,0.7857142857142857,0.225,0.2687412166231681,0.3333333333333333,2,0.5,0.38888888888888884,1,8,1.0,0.0,0.6666666666666667,0.7142857142857143,0,0
1101291,36,0.42500000000000004,0.22264349657714586,0,0.9285714285714285,0.17500000000000002,0.5815298132905039,0.6666666666666667,1,0.25,0.38888888888888884,7,7,0.6666666666666667,0.6666666666666666,0.3333333333333333,0.1428571428571428,1,0
1430504,35,0.15000000000000002,0.07461822011585045,0,0.5357142857142857,0.125,0.5775948604697851,1.0,1,0.0,0.2222222222222222,0,3,0.0,0.3333333333333333,0.6666666666666667,0.1428571428571428,1,0
